owner,age,name,selling_price,km_driven,fuel_Diesel,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,fule_Other
1.0,14,775,60000,70000,0,1,0,1,0,0,1,0
1.0,14,1041,135000,50000,0,1,0,1,0,0,1,0
1.0,9,505,600000,100000,1,0,0,1,0,0,1,0
1.0,4,118,250000,46000,0,1,0,1,0,0,1,0
2.0,7,279,450000,141000,1,0,0,1,0,0,1,0
1.0,14,812,140000,125000,0,1,0,1,0,0,1,0
1.0,5,545,550000,25000,0,1,0,1,0,0,1,0
2.0,7,1256,240000,60000,0,1,0,1,0,0,1,0
1.0,6,390,850000,25000,0,1,0,1,0,0,1,0
1.0,4,834,365000,78000,0,0,0,1,0,0,1,1
1.0,6,75,260000,35000,0,1,0,1,0,0,1,0
1.0,7,1256,250000,100000,0,1,0,1,0,0,1,0
1.0,3,1354,1650000,25000,0,1,1,0,0,1,0,0
1.0,14,775,60000,70000,0,1,0,1,0,0,1,0
1.0,14,1041,135000,50000,0,1,0,1,0,0,1,0
1.0,9,505,600000,100000,1,0,0,1,0,0,1,0
1.0,4,118,250000,46000,0,1,0,1,0,0,1,0
2.0,7,279,450000,141000,1,0,0,1,0,0,1,0
1.0,14,812,140000,125000,0,1,0,1,0,0,1,0
1.0,5,545,550000,25000,0,1,0,1,0,0,1,0
2.0,7,1256,240000,60000,0,1,0,1,0,0,1,0
1.0,6,390,850000,25000,0,1,0,1,0,0,1,0
1.0,4,834,365000,78000,0,0,0,1,0,0,1,1
1.0,6,75,260000,35000,0,1,0,1,0,0,1,0
1.0,7,1256,250000,100000,0,1,0,1,0,0,1,0
1.0,3,1354,1650000,25000,0,1,1,0,0,1,0,0
1.0,6,861,585000,24000,0,1,1,0,0,0,1,0
1.0,2,496,1195000,5000,1,0,1,0,0,0,1,0
2.0,8,69,390000,33000,1,0,0,1,0,0,1,0
1.0,7,610,1964999,28000,1,0,1,0,0,1,0,0
1.0,8,1093,1425000,59000,1,0,1,0,0,1,0,0
1.0,3,1021,975000,4500,1,0,1,0,0,1,0,0
1.0,10,20,1190000,175900,1,0,1,0,0,1,0,0
1.0,3,313,930000,14500,0,1,1,0,0,0,1,0
1.0,3,1334,525000,15000,0,1,0,1,0,0,1,0
1.0,8,12,1735000,50000,1,0,1,0,0,1,0,0
2.0,9,1094,1375000,33800,1,0,1,0,0,1,0,0
2.0,10,1197,450000,130400,1,0,1,0,0,1,0,0
1.0,5,1360,900000,50000,0,1,0,1,0,1,0,0
1.0,6,1398,1300000,80000,1,0,0,1,0,0,1,0
1.0,2,614,1400000,10000,0,1,0,1,0,0,1,0
1.0,11,1084,850000,119000,0,1,1,0,0,1,0,0
4.0,7,557,229999,60000,0,1,0,1,0,0,1,0
2.0,8,28,1550000,75800,1,0,1,0,0,1,0,0
3.0,12,24,1250000,78000,1,0,1,0,0,1,0,0
1.0,9,407,625000,40000,1,0,0,1,0,0,1,0
1.0,7,675,1050000,50000,1,0,0,1,0,0,1,0
2.0,7,320,560000,74000,1,0,0,1,0,0,1,0
2.0,7,1049,290000,64000,0,1,0,1,0,0,1,0
2.0,9,1048,275000,60000,0,1,0,1,0,0,1,0
2.0,12,686,411000,120000,1,0,0,1,0,0,1,0
3.0,12,476,150000,79000,0,1,0,1,0,0,1,0
1.0,2,432,500000,15000,0,1,0,1,0,0,1,0
1.0,15,814,100000,80000,0,1,0,1,0,0,1,0
1.0,4,972,725000,18500,1,0,1,0,0,0,1,0
1.0,3,870,401000,10200,0,1,1,0,0,0,1,0
1.0,3,606,750000,29000,1,0,1,0,0,0,1,0
